CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
025816109,AXP,AMERICAN EXPRESS CO,166784,166784,56.41M,56.41M,NEW,7.7%
632307104,NTRA,NATERA INC,116021,116021,31.49M,31.49M,NEW,4.3%
032654105,ADI,ANALOG DEVICES INC,139751,76099,55.5M,30.22M,+119.6%,7.6%
G6683N103,NU,NU HLDGS LTD,4584775,1757331,61.25M,23.48M,+62.2%,8.4%
53626N102,LION,LIONSGATE STUDIOS CORP,1246584,1246584,19.09M,19.09M,NEW,2.6%
75700L108,RRR,RED ROCK RESORTS INC,237896,237896,15.48M,15.48M,NEW,2.1%
82509L107,SHOP,SHOPIFY INC,307137,95342,35.07M,10.89M,+45%,4.8%
531229755,FWONK,LIBERTY MEDIA CORP DEL,604763,91273,57.54M,8.68M,+17.8%,7.9%
751212101,RL,RALPH LAUREN CORP,135557,18017,54.41M,7.23M,+15.3%,7.4%
78462F103,SPY,STATE STR SPDR S&P 500 ETF T,2401,2401,1.79M,1.79M,NEW,0.25%
171779309,CIEN,CIENA CORP,130272,0,63.91M,0,NO CHANGE,8.7%
30303M102,META,META PLATFORMS INC,76272,0,42.96M,0,NO CHANGE,5.9%
64110L106,NFLX,NETFLIX INC.,300810,0,21.48M,0,NO CHANGE,2.9%
58733R102,MELI,MERCADOLIBRE INC,10642,0,18.06M,0,NO CHANGE,2.5%
G93A5A101,VIK,VIKING HOLDINGS LTD,616700,-60387,64.55M,-6.32M,-8.9%,8.8%
461202103,INTU,INTUIT,98636,-32537,25.74M,-8.49M,-24.8%,3.5%
576323109,MTZ,MASTEC INC,87828,-24913,36.54M,-10.37M,-22.1%,5%
02079K305,GOOGL,ALPHABET INC,0,-45628,0,-13.12M,CLOSE,0%
922475108,VEEV,VEEVA SYS INC,0,-97238,0,-17.08M,CLOSE,0%
H5919C104,ONON,ON HLDG AG,668771,-528567,23.69M,-18.72M,-44.1%,3.2%
00827B106,AFRM,AFFIRM HLDGS INC,568524,-265765,46.36M,-21.67M,-31.9%,6.3%
Total,,,,,731.34M,108.99M,+19.3%,100%
