CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
15675D103,CBRS,CEREBRAS SYSTEMS INC,2999000,2999000,662.78M,662.78M,NEW,2.8%
007903107,AMD,ADVANCED MICRO DEVICES INC,674727,674727,391.96M,391.96M,NEW,1.6%
458140100,INTC,INTEL CORP,4252690,2613990,593.8M,364.99M,+159.5%,2.5%
G7997R103,STX,SEAGATE TECHNOLOGY HLDNGS PL,285100,285100,275.12M,275.12M,NEW,1.1%
92826C839,V,VISA INC,798697,798697,274.02M,274.02M,NEW,1.1%
219948106,CPAY,CORPAY INC,2149877,397731,716.49M,132.55M,+22.7%,3%
235851102,DHR,DANAHER CORP DEL,456000,456000,86.86M,86.86M,NEW,0.36%
84615Q103,SPCX,SPACE EXPLORATION TECHN CORP,375000,375000,64.07M,64.07M,NEW,0.27%
852234103,XYZ,BLOCK INC,4576007,576007,347.78M,43.78M,+14.4%,1.5%
038169207,APLD,APPLIED DIGITAL CORP,885000,885000,33.01M,33.01M,NEW,0.14%
22266T109,CPNG,COUPANG INC,36467972,1872565,633.45M,32.53M,+5.4%,2.6%
58733R102,MELI,MERCADOLIBRE INC,153126,18120,259.91M,30.76M,+13.4%,1.1%
17253J106,CIFR,CIPHER DIGITAL INC,927000,927000,22.71M,22.71M,NEW,0.09%
21874A106,CORZ,CORE SCIENTIFIC INC NEW,817000,817000,20.91M,20.91M,NEW,0.09%
75734B100,RDDT,REDDIT INC,2528819,28819,438.95M,5M,+1.2%,1.8%
G6683N103,NU,NU HLDGS LTD,11032555,0,147.39M,0,NO CHANGE,0.61%
947002101,WLTH,WEALTHFRONT CORP,15156877,0,135.5M,0,NO CHANGE,0.57%
29445S100,EQPT,EQUIPMENTSHARE COM INC,4579646,0,90.04M,0,NO CHANGE,0.38%
824348106,SHW,SHERWIN WILLIAMS CO,257083,0,88.52M,0,NO CHANGE,0.37%
G9572D103,BULL,WEBULL CORP,6724137,0,43.84M,0,NO CHANGE,0.18%
00138L108,RERE,ATRENEW INC,9831218,0,38.05M,0,NO CHANGE,0.16%
90353T100,UBER,UBER TECHNOLOGIES INC,151178,0,10.91M,0,NO CHANGE,0.05%
25809K105,DASH,DOORDASH INC,25337,0,4.68M,0,NO CHANGE,0.02%
G00894108,ARX,ACCELERANT HOLDINGS,75000,0,879K,0,NO CHANGE,<.01%
36866J105,GEMI,GEMINI SPACE STA INC,70000,0,298.2K,0,NO CHANGE,<.01%
55318A108,MNTN,MNTN INC,20000,0,184K,0,NO CHANGE,<.01%
