CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
464287523,SOXX,ISHARES TR,85270,55116,54.64M,35.32M,+182.8%,2.6%
595112103,MU,MICRON TECHNOLOGY INC,22769,18396,26.28M,21.23M,+420.7%,1.2%
N07059210,ASML,ASML HLDG NV,9590,8884,19.08M,17.67M,+1258.4%,0.9%
46654Q203,JEPQ,J P MORGAN EXCHANGE TRADED F,559504,188718,34.39M,11.6M,+50.9%,1.6%
92537N108,VRT,VERTIV HOLDINGS CO,105170,22130,35.21M,7.41M,+26.6%,1.7%
149123101,CAT,CATERPILLAR INC,21130,6165,22.5M,6.57M,+41.2%,1.1%
859241101,STRL,STERLING INFRASTRUCTURE INC,4441,4441,3.73M,3.73M,NEW,0.18%
22788C105,CRWD,CROWDSTRIKE HLDGS INC,66066,4141,50.42M,3.16M,+6.7%,2.4%
29084Q100,EME,EMCOR GROUP INC,3746,3746,3.11M,3.11M,NEW,0.15%
922908363,VOO,VANGUARD INDEX FDS,24428,4256,16.78M,2.92M,+21.1%,0.79%
46641Q332,JEPI,J P MORGAN EXCHANGE TRADED F,1044284,51259,58.98M,2.9M,+5.2%,2.8%
74762E102,PWR,QUANTA SVCS INC,13518,3823,9.73M,2.75M,+39.4%,0.46%
92204A702,VGT,VANGUARD WORLD FD,24201,21295,2.89M,2.55M,+732.8%,0.14%
443201108,HWM,HOWMET AEROSPACE INC,13347,7001,3.59M,1.88M,+110.3%,0.17%
26614N201,DD,DUPONT DE NEMOURS INC,13663,13663,1.85M,1.85M,NEW,0.09%
922908736,VUG,VANGUARD INDEX FDS,16480,13482,1.42M,1.16M,+449.7%,0.07%
464287150,ITOT,ISHARES TR,6767,6767,1.11M,1.11M,NEW,0.05%
911363109,URI,UNITED RENTALS INC,12061,958,13.66M,1.09M,+8.6%,0.64%
81762P102,NOW,SERVICENOW INC,45189,10441,4.49M,1.04M,+30%,0.21%
09857L108,BKNG,BOOKING HOLDINGS INC,5910,5669,1.05M,1.01M,+2352.3%,0.05%
84615Q103,SPCX,SPACE EXPLORATION TECHN CORP,5440,5440,929.53K,929.53K,NEW,0.04%
921932505,VOOG,VANGUARD ADMIRAL FDS INC,11204,11204,925.67K,925.67K,NEW,0.04%
008073108,AVAV,AEROVIRONMENT INC,21964,4968,3.63M,820.07K,+29.2%,0.17%
35671D857,FCX,FREEPORT MCMORAN INC,323806,12575,20.36M,790.84K,+4%,0.96%
464287556,IBB,ISHARES TR,17354,4067,3.3M,773.52K,+30.6%,0.16%
921909768,VXUS,VANGUARD STAR FDS,40512,8411,3.46M,719.05K,+26.2%,0.16%
874039100,TSM,TAIWAN SEMICONDUCTOR MANUFAC,7026,1307,3.36M,624.17K,+22.9%,0.16%
464287309,IVW,ISHARES TR,109400,4425,15.05M,608.57K,+4.2%,0.71%
38149W630,GPIQ,GOLDMAN SACHS ETF TR,10129,10129,600.76K,600.76K,NEW,0.03%
31624J729,FYEE,FIDELITY GREENWOOD STREET TR,51848,20273,1.5M,585.69K,+64.2%,0.07%
