CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
482480100,KLAC,KLA CORP,11656605,10551598,3.52B,3.18B,+954.9%,0.64%
29444U700,EQIX,EQUINIX INC,1239122,1234521,1.29B,1.29B,+26831.6%,0.23%
958102105,WDC,WESTERN DIGITAL CORP,4744377,1841629,3.03B,1.18B,+63.4%,0.55%
09857L108,BKNG,BOOKING HOLDINGS INC,6101866,5869459,1.09B,1.05B,+2525.5%,0.2%
253868103,DLR,DIGITAL RLTY TR INC,4890993,4862814,878.32M,873.26M,+17256.9%,0.16%
828806109,SPG,SIMON PPTY GROUP INC NEW,3604590,3578240,806.17M,800.27M,+13579.7%,0.15%
756109104,O,REALTY INCOME CORP,10354693,10307948,641.58M,638.68M,+22051.4%,0.12%
92826C839,V,VISA INC,15720068,1808496,5.39B,620.48M,+13%,0.98%
80004C200,SNDK,SANDISK CORP,726722,264935,1.65B,602.39M,+57.4%,0.3%
806857108,SLB,SLB LIMITED,10134731,9977804,471.16M,463.87M,+6358.2%,0.09%
573874104,MRVL,MARVELL TECHNOLOGY INC,9120029,1544657,2.72B,460.14M,+20.4%,0.49%
053332102,AZO,AUTOZONE INC,141066,139858,450.84M,446.98M,+11577.6%,0.08%
11135F101,AVGO,BROADCOM INC,40180530,1140598,15.18B,430.86M,+2.9%,2.8%
46284V101,IRM,IRON MTN INC DEL,3193560,3182834,403.38M,402.02M,+29674%,0.07%
871607107,SNPS,SYNOPSYS INC,3087349,892736,1.38B,398.22M,+40.7%,0.25%
438516205,HON,HONEYWELL INTL INC,1687829,1687829,377.9M,377.9M,NEW,0.07%
43849R105,HONA,HONEYWELL AEROSPACE INC,1676062,1676062,370.54M,370.54M,NEW,0.07%
151290889,CX,CEMEX SA EURO MTN BE 144A,28452677,28436254,341.43M,341.24M,+173149%,0.06%
84615Q103,SPCX,SPACE EXPLORATION TECHN CORP,1988875,1988875,339.82M,339.82M,NEW,0.06%
30225T102,EXR,EXTRA SPACE STORAGE INC,2241413,2232225,325.68M,324.34M,+24295%,0.06%
22822V101,CCI,CROWN CASTLE INC,3872994,3852282,293.3M,291.73M,+18599.3%,0.05%
29082A107,EMBJ,EMBRAER S.A.,4554096,4552165,290.55M,290.43M,+235741.3%,0.05%
29476L107,EQR,EQUITY RESIDENTIAL,4335122,4262792,294.48M,289.57M,+5893.5%,0.05%
82509L107,SHOP,SHOPIFY INC,2633169,2482424,300.66M,283.44M,+1646.8%,0.05%
718172109,PM,PHILIP MORRIS INTL INC,6989904,1412478,1.26B,255.53M,+25.3%,0.23%
697435105,PANW,PALO ALTO NETWORKS INC,8778963,706003,2.99B,240.76M,+8.7%,0.54%
81762P102,NOW,SERVICENOW INC,16638071,2362606,1.65B,234.56M,+16.6%,0.3%
297178105,ESS,ESSEX PPTY TR INC,757439,754185,220.86M,219.91M,+23177.2%,0.04%
031162100,AMGN,AMGEN INC,5390910,605928,1.95B,219.42M,+12.7%,0.35%
92343V104,VZ,VERIZON COMMUNICATIONS INC,41173226,5075794,1.74B,214.91M,+14.1%,0.32%
594918104,MSFT,MICROSOFT CORP,64375360,543172,24.01B,202.61M,+0.9%,4.4%
874080104,TAL,TAL ED GROUP,20707024,20704410,198.17M,198.14M,+792058.5%,0.04%
19247G107,COHR,COHERENT CORP,1245516,489048,491.32M,192.91M,+64.6%,0.09%
166764100,CVX,CHEVRON CORPORATION,7504409,1143362,1.24B,189.52M,+18%,0.23%
40415F101,HDB,HDFC BANK LTD,7511024,7218609,194.01M,186.46M,+2468.6%,0.04%
855244109,SBUX,STARBUCKS CORP,8506482,1767530,869.28M,180.62M,+26.2%,0.16%
46187W107,INVH,INVITATION HOMES INC,5971242,5963259,180.39M,180.15M,+74699.5%,0.03%
093712107,BE,BLOOM ENERGY CORP,1327549,583135,401.85M,176.51M,+78.3%,0.07%
146869102,CVNA,CARVANA CO,3325237,2579295,218.87M,169.77M,+345.8%,0.04%
172967424,C,CITIGROUP INC,12467857,1210006,1.75B,169.35M,+10.7%,0.32%
59522J103,MAA,MID-AMER APT CMNTYS INC,1221025,1213390,169.65M,168.59M,+15892.5%,0.03%
532457108,LLY,ELI LILLY & CO,7209385,137364,8.65B,164.76M,+1.9%,1.6%
25179M103,DVN,DEVON ENERGY CORP NEW,7255554,3942368,299.8M,162.9M,+119%,0.05%
36118L106,FUTU,FUTU HLDGS LTD,1715691,1712927,160.83M,160.57M,+61972.8%,0.03%
369604301,GE,GE AEROSPACE,7251603,427820,2.71B,159.89M,+6.3%,0.49%
26614N201,DD,DUPONT DE NEMOURS INC,1166601,1166601,158.24M,158.24M,NEW,0.03%
49446R109,KIM,KIMCO REALTY CORP,6304565,6223902,159.82M,157.78M,+7715.9%,0.03%
758849103,REG,REGENCY CTRS CORP,1953088,1942853,155.74M,154.92M,+18982.4%,0.03%
863667101,SYK,STRYKER CORPORATION,2689376,481175,846.72M,151.49M,+21.8%,0.15%
22160K105,COST,COSTCO WHOLESALE CORPORATION,3068312,160893,2.87B,150.51M,+5.5%,0.52%
171779309,CIEN,CIENA CORP,1145480,293548,561.93M,144M,+34.5%,0.1%
91913Y100,VLO,VALERO ENERGY CORP,2058341,520642,536.07M,135.6M,+33.9%,0.1%
17275R102,CSCO,CISCO SYS INC,43450141,1143106,5.1B,134.27M,+2.7%,0.93%
872540109,TJX,TJX COS INC NEW,12560007,883294,1.9B,133.82M,+7.6%,0.35%
001055102,AFL,AFLAC INC,5201217,1132091,609.84M,132.74M,+27.8%,0.11%
42250P103,DOC,HEALTHPEAK PROPERTIES INC,6217474,6187772,133.05M,132.42M,+20832.8%,0.02%
881624209,TEVA,TEVA PHARMACEUTICAL INDS LTD,3832465,3775221,129.84M,127.9M,+6595%,0.02%
44107P104,HST,HOST HOTELS & RESORTS INC,5323184,5290493,126.21M,125.44M,+16183.3%,0.02%
71654V408,PBR,PETROLEO BRASILEIRO S A,7743207,7736138,125.13M,125.02M,+109437.5%,0.02%
30212P303,EXPE,EXPEDIA GROUP INC,1122837,482049,287.31M,123.35M,+75.2%,0.05%
445658107,JBHT,HUNT J B TRANS SVCS INC,1056398,414837,305.75M,120.07M,+64.7%,0.06%
46429B598,INDA,ISHARES TR,2521129,2403879,124.52M,118.73M,+2050.2%,0.02%
278768AB2,SATS,ECHOSTAR CORP,37000000,37000000,115.53M,115.53M,NEW,0.02%
064058100,BK,BANK OF NY MELLON CORP,8396325,769191,1.21B,111.23M,+10.1%,0.22%
876030107,TPR,TAPESTRY INC,2169602,758915,317.59M,111.09M,+53.8%,0.06%
199908104,FIX,COMFORT SYS USA INC,201945,55938,400.24M,110.87M,+38.3%,0.07%
816850101,SMTC,SEMTECH CORP,842125,672447,136.3M,108.84M,+396.3%,0.02%
36467J108,GLPI,GAMING & LEISURE P,2443672,2442003,108.82M,108.74M,+146315.3%,0.02%
23804L103,DDOG,DATADOG INC,2390512,405272,622.39M,105.52M,+20.4%,0.11%
252131107,DXCM,DEXCOM INC,11261876,1515702,758.49M,102.08M,+15.6%,0.14%
04626A103,ALAB,ASTERA LABS INC,854492,205301,412.74M,99.16M,+31.6%,0.08%
049468101,TEAM,ATLASSIAN CORPORATION,3621603,1252964,281.72M,97.47M,+52.9%,0.05%
