CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
78462F103,SPY,STATE STR SPDR S&P 500 ETF T,418536,418536,312.55M,312.55M,NEW,4.4%
874039100,TSM,TAIWAN SEMICONDUCTOR MANUFAC,1090437,600588,520.76M,286.82M,+122.6%,7.3%
02079K305,GOOGL,ALPHABET INC,1831473,645271,654.51M,230.6M,+54.4%,9.1%
67066G104,NVDA,NVIDIA CORPORATION,1216044,1048519,243.32M,209.8M,+625.9%,3.4%
91324P102,UNH,UNITEDHEALTH GROUP INC,389216,389216,161.77M,161.77M,NEW,2.3%
594918104,MSFT,MICROSOFT CORP,606897,328364,226.38M,122.49M,+117.9%,3.2%
02079K107,GOOG,ALPHABET INC,289089,289089,102.14M,102.14M,NEW,1.4%
00724F101,ADBE,ADOBE INC,740478,488560,151.81M,100.16M,+193.9%,2.1%
30303M102,META,META PLATFORMS INC,255263,105753,143.79M,59.57M,+70.7%,2%
09857L108,BKNG,BOOKING HOLDINGS INC,310566,305838,55.36M,54.51M,+6468.7%,0.77%
16119P108,CHTR,CHARTER COMMUNICATIONS INC,457058,376854,65M,53.59M,+469.9%,0.91%
69608A108,PLTR,PALANTIR TECHNOLOGIES INC,424572,424572,49.53M,49.53M,NEW,0.69%
11135F101,AVGO,BROADCOM INC,130796,130796,49.41M,49.41M,NEW,0.69%
81369Y803,XLK,SELECT SECTOR SPDR TR,397277,239160,75.69M,45.56M,+151.3%,1.1%
79466L302,CRM,SALESFORCE INC,264418,264418,41.42M,41.42M,NEW,0.58%
81369Y605,XLF,SELECT SECTOR SPDR TR,829456,663369,44.47M,35.56M,+399.4%,0.62%
064058100,BK,BANK OF NY MELLON CORP,395669,229940,57.22M,33.25M,+138.7%,0.8%
928298108,VSH,VISHAY INTERTECHNOLOGY INC,608011,608011,32.7M,32.7M,NEW,0.46%
42824C109,HPE,HEWLETT PACKARD ENTERPRISE C,961967,695804,43.39M,31.39M,+261.4%,0.6%
011659109,ALK,ALASKA AIR GROUP INC,591562,591562,30.88M,30.88M,NEW,0.43%
219350105,GLW,CORNING INC,320755,119485,81.93M,30.52M,+59.4%,1.1%
816850101,SMTC,SEMTECH CORP,165173,164919,26.73M,26.69M,+64928.7%,0.37%
832696405,SJM,SMUCKER J M CO,238320,228691,26.81M,25.73M,+2375%,0.37%
88160R101,TSLA,TESLA INC,62972,59853,26.49M,25.17M,+1919%,0.37%
81762P102,NOW,SERVICENOW INC,391287,245397,38.85M,24.36M,+168.2%,0.54%
464287523,SOXX,ISHARES TR,45991,37859,29.47M,24.26M,+465.6%,0.41%
92537N108,VRT,VERTIV HOLDINGS CO,347890,72081,116.48M,24.13M,+26.1%,1.6%
98978V103,ZTS,ZOETIS INC,1002966,330042,72.07M,23.72M,+49%,1%
82706C108,SIMO,SILICON MOTION TECHNOLOGY CO,88015,67360,29.34M,22.45M,+326.1%,0.41%
68389X105,ORCL,ORACLE CORP,194650,151671,28.53M,22.23M,+352.9%,0.4%
573874104,MRVL,MARVELL TECHNOLOGY INC,66086,66086,19.69M,19.69M,NEW,0.27%
037833100,AAPL,APPLE INC,67040,67040,19.4M,19.4M,NEW,0.27%
43849R105,HONA,HONEYWELL AEROSPACE INC,84200,84200,18.61M,18.61M,NEW,0.26%
438516205,HON,HONEYWELL INTL INC,81887,81887,18.33M,18.33M,NEW,0.26%
911312106,UPS,UNITED PARCEL SVCS INC,201072,168675,21.62M,18.13M,+520.7%,0.3%
V7780T103,RCL,ROYAL CARIBBEAN GROUP,70715,57039,22.45M,18.11M,+417.1%,0.31%
172573107,CRCL,CIRCLE INTERNET GROUP INC,264162,264162,16.54M,16.54M,NEW,0.23%
36828A101,GEV,GE VERNOVA INC,15168,13947,17.82M,16.39M,+1142.3%,0.25%
629377508,NRG,NRG ENERGY INC,107259,107259,15.67M,15.67M,NEW,0.22%
338307101,FIVN,FIVE9 INC,684809,684809,14.6M,14.6M,NEW,0.2%
21037T109,CEG,CONSTELLATION ENERGY CORP,58180,58180,14.45M,14.45M,NEW,0.2%
191216100,KO,COCA COLA CO,205706,176529,16.72M,14.35M,+605%,0.23%
92343V104,VZ,VERIZON COMMUNICATIONS INC,611621,337372,25.9M,14.28M,+123%,0.36%
77926X320,DRAM,ROUNDHILL ETF TRUST,193246,193246,14.27M,14.27M,NEW,0.2%
20825C104,COP,CONOCOPHILLIPS,137054,137054,14.25M,14.25M,NEW,0.2%
501044101,KR,KROGER CO,255829,255829,14.21M,14.21M,NEW,0.2%
172967424,C,CITIGROUP INC,223863,93906,31.33M,13.14M,+72.3%,0.44%
78464A714,XRT,SPDR SERIES TRUST,149714,149714,13.14M,13.14M,NEW,0.18%
46438F101,IBIT,ISHARES BITCOIN TRUST ETF,2113993,363890,70.37M,12.11M,+20.8%,0.98%
314911108,FRMI,FERMI INC,1366393,1310047,12.52M,12M,+2325%,0.17%
172908105,CTAS,CINTAS CORP,69131,69131,11.76M,11.76M,NEW,0.16%
464287515,IGV,ISHARES TR,128711,128711,11.66M,11.66M,NEW,0.16%
