CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
314911108,FRMI,FERMI INC,1311002,1311002,12.01M,12.01M,NEW,3.2%
81141R100,SE,SEA LTD,85475,85475,8.19M,8.19M,NEW,2.2%
08774B508,BETR,BETTER HOME & FINANCE HOLDIN,253987,253987,6.98M,6.98M,NEW,1.9%
349381103,FIGR,FIGURE TECHNOLOGY SOLUTIO,225948,225948,6.94M,6.94M,NEW,1.8%
68389X105,ORCL,ORACLE CORP,41598,41598,6.1M,6.1M,NEW,1.6%
81764X103,TTAN,SERVICETITAN INC,46323,46323,3.28M,3.28M,NEW,0.87%
19260Q107,COIN,COINBASE GLOBAL INC,47048,21788,6.88M,3.19M,+86.3%,1.8%
08265T208,BSY,BENTLEY SYS INC,98200,98200,2.94M,2.94M,NEW,0.78%
30234F101,XZO,EXZEO GROUP INC,541544,130191,9.14M,2.2M,+31.6%,2.4%
N69958101,PICS,PICS NV,205948,205948,2.19M,2.19M,NEW,0.58%
G32089107,ETOR,ETORO GROUP LTD,190284,51197,7.51M,2.02M,+36.8%,2%
74275K108,PCOR,PROCORE TECHNOLOGIES INC,49001,49001,1.99M,1.99M,NEW,0.53%
67066G104,NVDA,NVIDIA CORPORATION,9710,9710,1.94M,1.94M,NEW,0.51%
11135F101,AVGO,BROADCOM INC,4395,4395,1.66M,1.66M,NEW,0.44%
92538J106,VERX,VERTEX INC,136118,136118,1.56M,1.56M,NEW,0.41%
42217D102,HIT,HEALTH IN TECH INC,1509766,1509766,1.52M,1.52M,NEW,0.4%
49845K101,KVYO,KLAVIYO INC,88946,88946,1.34M,1.34M,NEW,0.36%
573874104,MRVL,MARVELL TECHNOLOGY INC,4238,4238,1.26M,1.26M,NEW,0.33%
609839105,MPWR,MONOLITHIC PWR SYS INC,595,595,822.5K,822.5K,NEW,0.22%
N07059210,ASML,ASML HLDG NV,406,406,807.71K,807.71K,NEW,0.21%
874039100,TSM,TAIWAN SEMICONDUCTOR MANUFAC,1500,1500,716.36K,716.36K,NEW,0.19%
10576N102,BRZE,BRAZE INC,30927,30927,670.81K,670.81K,NEW,0.18%
947002101,WLTH,WEALTHFRONT CORP,604160,57753,5.4M,516.31K,+10.6%,1.4%
770700102,HOOD,ROBINHOOD MKTS INC,54755,4419,5.49M,443.14K,+8.8%,1.5%
031652100,AMKR,AMKOR TECHNOLOGY INC,4600,4600,396.66K,396.66K,NEW,0.11%
M20791105,CAMT,CAMTEK LTD,1800,1800,293.62K,293.62K,NEW,0.08%
15101Q207,CLS,CELESTICA INC,771,771,281.26K,281.26K,NEW,0.07%
904767803,UL,UNILEVER PLC,4444,551,267.17K,33.13K,+14.2%,0.07%
888787108,TOST,TOAST INC,336853,804,9.37M,22.37K,+0.2%,2.5%
852234103,XYZ,BLOCK INC,123945,120,9.42M,9.12K,+0.1%,2.5%
68401U204,OPRX,OPTIMIZERX CORP,1508303,0,8.63M,0,NO CHANGE,2.3%
81749D107,SERA,SERA PROGNOSTICS INC,3306889,0,6.02M,0,NO CHANGE,1.6%
69007J304,OUT,OUTFRONT MEDIA INC,9347,0,306.21K,0,NO CHANGE,0.08%
942622200,WSO,WATSCO INC,668,0,278.38K,0,NO CHANGE,0.07%
