CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
84615Q103,SPCX,Space Exploration Technologies Corp,74855020,74855020,12.79B,12.79B,NEW,90%
771049103,RBLX,Roblox Corp,274570,274570,14.93M,14.93M,NEW,0.11%
482931102,KLRA,Kailera Therapeutics Inc,140000,140000,3.08M,3.08M,NEW,0.02%
42727R302,IPST,IP Strategy Holdings Inc,4137,4137,9.72K,9.72K,NEW,<.01%
639193101,NAVN,Navan Inc,28218676,0,645.36M,0,NO CHANGE,4.5%
76155X100,RVMD,Revolution Medicines Inc,921099,0,172.5M,0,NO CHANGE,1.2%
30303M102,META,Meta Platforms Inc,212531,0,119.72M,0,NO CHANGE,0.84%
09077V100,BIOA,Bioage Labs Inc,3233170,0,79.24M,0,NO CHANGE,0.56%
852234103,XYZ,Block Inc,1016697,0,77.27M,0,NO CHANGE,0.54%
29479A108,ERAS,Erasca Inc,2862500,0,52.44M,0,NO CHANGE,0.37%
578784100,MAZE,Maze Therapeutics Inc,1702225,0,50.79M,0,NO CHANGE,0.36%
36322Q206,DMRA,Damora Therapeutics Inc,1236157,0,32.15M,0,NO CHANGE,0.23%
01021M104,AKTS,Aktis Oncology Inc,415000,0,13.38M,0,NO CHANGE,0.09%
13463J101,CAMP,Camp4 Therapeutics Corp,2125339,0,9.29M,0,NO CHANGE,0.07%
091947101,BTGO,BitGo Holdings Inc,666356,0,3.45M,0,NO CHANGE,0.02%
37611X209,DNA,Ginkgo Bioworks Holdings Inc,108568,0,1.08M,0,NO CHANGE,<.01%
42727R203,IPST,IP Strategy Holdings Inc,0,-82740,0,-21.84K,CLOSE,0%
63909J108,NAUT,Nautilus Biotechnology Inc,9063054,-8590863,16.95M,-16.06M,-48.7%,0.12%
68170A108,OMDA,Omada Health Inc,1153639,-1153645,25.32M,-25.32M,-50%,0.18%
316841105,FIG,Figma Inc,5983308,-10028070,108.24M,-181.41M,-62.6%,0.76%
Total,,,,,14.21B,12.58B,+975.1%,100%
